# \\ thingid : unique identifier
# \\ tf_morpho : morphology of the tidal feature system (visual inspection)
# \\ RA : decimal right ascension
# \\ Dec : decimal declination
# \\ z : SDSS spectroscopic redshift
thingid,tf_morpho,RA,Dec,z
36373501,stream,30.536081,-6.821022,0.08672
36672745,stream,35.063764,-6.868264999999999,0.30098
36867751,stream,35.57965,-6.8103130000000025,0.14004
37890758,stream,35.617274,-6.571396000000001,0.15395999999999999
38339122,shell,33.607401,-6.461172,0.23655
38453134,shell,30.575676,-6.537419,0.30996999999999997
38524783,stream,30.822642,-6.3700160000000015,0.05189
38654293,stream,31.257710999999997,-6.372758,0.18854
39206835,stream,33.087588000000004,-6.32453,0.1398
39749908,stream,31.433004999999998,-6.16711,0.22693000000000002
40000992,stream,32.313111,-6.149362,0.13881
40001007,stream,32.266268,-6.1951089999999995,0.10745
40168220,stream,36.155739000000004,-6.177059,0.25903000000000004
40216897,stream,36.289192,-6.073777,0.05122
40334258,stream,33.274901,-6.150333,0.13942000000000002
40514858,stream,30.354476000000002,-6.092467,0.16618
40646158,stream,34.317071,-6.066261,0.10173
40783600,shell,34.787871,-5.910467,0.14895999999999998
41095405,stream,35.70689,-6.025213,0.31040999999999996
41235486,shell,32.851158,-5.841469,0.29738000000000003
41339657,stream,36.443647,-5.862521,0.23065
41451925,shell,33.610786,-5.872878,0.20599
41596708,stream,30.583759000000004,-5.871497,0.23642
41676115,stream,37.481565,-5.722105,0.35714
41724329,shell,34.537014,-5.806712,0.19817
41993103,shell,35.484971,-5.758787,0.25906
42279495,stream,36.250327,-5.693213,0.34085
42677347,stream,37.400908,-5.561667,0.24026
42718193,stream,37.522849,-5.683184,0.19295
42854964,shell,33.093686,-5.598939,0.30139
42855143,shell,33.112449,-5.626558,0.29991
43113926,shell,34.33595,-5.429814,0.12749000000000002
43131407,stream,34.479814000000005,-5.4480660000000025,0.24939
43232572,stream,34.901708,-5.522313,0.08421000000000001
43232727,stream,34.945848,-5.5836760000000005,0.1664
43280115,stream,36.209603,-5.489699,0.33276999999999995
43437386,shell,36.556647999999996,-5.446129,0.24447
43783435,stream,32.740781,-5.283428,0.13742000000000001
43828934,stream,37.714579,-5.452298000000001,0.28597
43983051,shell,33.801082,-5.422137,0.12775
44250785,shell,34.971022,-5.306665,0.07322000000000001
44436572,stream,35.819113,-5.208317,0.33027
44724681,stream,32.291039000000005,-5.158931,0.13929
44732658,stream,33.495106,-5.186262,0.35451
45213196,shell,34.801869,-5.083825,0.19601
45523517,stream,36.18496500000001,-5.0818970000000006,0.08565
45523550,stream,36.296028,-4.909313,0.23789000000000002
45581110,stream,36.518867,-4.992736,0.05409
45638082,shell,36.785813,-5.074324,0.14925
45638094,shell,36.813286,-5.075667,0.14309000000000002
45782869,stream,37.633348,-4.989596,0.29139
46109332,shell,33.138627,-4.809054,0.18048
46109535,stream,31.781215999999997,-4.926928,0.2431
46273066,stream,35.126914,-4.867442,0.3176
46462705,stream,36.246794,-4.79289,0.32726
46597279,shell,37.018688,-4.849895,0.29408
46718250,stream,32.827480300000005,-4.717283999999999,0.0875
46845394,stream,38.143518,-4.760926,0.18900999999999998
46888181,shell,33.689876,-4.652993,0.1609
46903246,stream,38.53621,-4.778582,0.25287
46907921,stream,33.799776,-4.6745,0.29141999999999996
47256139,stream,35.56480999999999,-4.531833,0.20046
47406793,shell,32.708805,-4.6496129999999996,0.12992
47410531,stream,31.618378999999997,-4.68626,0.13635999999999998
47628323,shell,32.994941,-4.6239940000000015,0.27071
48085442,shell,33.639258,-4.486530999999999,0.14021
48085525,stream,33.626232,-4.465244,0.14076
48133155,stream,35.40055200000001,-4.420076,0.0695
48184017,stream,35.74159500000001,-4.311376,0.23756999999999998
48269708,stream,36.151385,-4.384983,0.26396
48420798,shell,37.072666,-4.271434999999999,0.2094
48468464,stream,32.396276,-4.262524,0.2994
48973165,stream,30.423733000000002,-4.243308,0.34861
49084122,shell,36.121317,-4.165344,0.2644
49272874,shell,37.122084,-4.14657,0.20995999999999998
49278559,stream,32.697102,-4.188598000000002,0.15839
49304999,stream,37.247562,-4.1792419999999995,0.36851
49733481,stream,35.067785,-4.078043,0.13994
49836358,stream,35.66077100000001,-3.941557,0.15052000000000001
49868448,shell,30.558567,-3.988626,0.21654
50102057,shell,32.118904,-4.01215,0.05704
50126085,stream,37.250001,-3.989514,0.20822
50203676,stream,32.984648,-3.8252080000000004,0.0949
50355319,stream,34.109494,-3.929414,0.25201999999999997
50432879,stream,32.394054,-3.841772,0.29894
50440270,stream,33.470345,-3.870268,0.13959000000000002
50511968,stream,34.886388000000004,-3.715443,0.17797000000000002
50656702,stream,35.689229,-3.8629309999999997,0.08476
50900478,stream,32.418344,-3.6592860000000003,0.26588
50946846,shell,37.559158000000004,-3.7238480000000003,0.32624000000000003
50975516,stream,37.662526,-3.683244,0.31901999999999997
51000151,shell,37.873226,-3.6263099999999997,0.32035
51065207,shell,33.69701,-3.699995,0.05694
51175866,shell,33.965627000000005,-3.6447800000000004,0.35528000000000004
51303394,stream,34.363372999999996,-3.659067,0.29077
52019602,shell,37.725606,-3.5190919999999997,0.18833
52108138,stream,38.312164,-3.366968,0.27326
52468948,stream,30.809554,-3.5104370000000005,0.29207
52749730,stream,33.246832,-3.325456,0.28412
52793291,stream,33.672853,-3.4026970000000003,0.14115999999999998
53014423,stream,35.601973,-3.241606,0.34956
53092510,stream,32.404528000000006,-3.2584049999999998,0.16737
53126256,stream,37.311978,-3.3794519999999997,0.19208
53185947,stream,37.286251,-3.312967,0.0636
53326420,stream,32.757432,-3.190966,0.24231
53598632,stream,30.144091999999997,-3.199385,0.17740999999999998
53740353,shell,31.273047,-3.152788,0.28729
53799381,shell,31.736649,-3.164899,0.12209
54060645,stream,33.81078,-3.0308080000000004,0.0682
54098306,stream,36.137351,-3.045634,0.29761
54284286,stream,35.573939,-3.013994,0.06851
54341326,stream,33.458228999999996,-3.0846970000000002,0.27894
54596599,stream,38.280946,-3.057375,0.21020999999999998
60558308,stream,182.43181,-2.083211,0.09992999999999999
60628325,shell,219.14652,-2.08218,0.13338
61372363,stream,213.40698999999998,-2.0297959999999997,0.29265
61537008,stream,215.2253571,-1.967018,0.10181
61664664,stream,216.03935,-2.043814,0.08215
61746970,shell,216.71456,-2.060397,0.19021
61886715,stream,213.16387000000003,-2.041958,0.07374
61955923,shell,218.18436,-2.088829,0.056379999999999986
62006459,stream,218.4806061,-1.88808,0.20724
62072753,stream,218.78609,-2.061794,0.05093
62123687,stream,181.9729156,-1.915362,0.32322
62125873,shell,218.91282,-2.031327,0.168
62163213,stream,219.05059,-2.018217,0.05449
62163214,stream,219.05806,-2.016753,0.05451
62181909,stream,180.08216000000004,-2.018789,0.10787999999999999
62194900,shell,179.77923,-2.051708,0.12673
62236976,stream,178.74941,-2.0371490000000003,0.07741
62249030,stream,178.61127,-2.0043159999999998,0.22499
62258265,stream,178.19871519999995,-1.921102,0.16565
62300485,stream,177.2011871,-1.8843880000000002,0.09417
62308231,stream,177.06884,-1.8815689999999998,0.24203000000000002
62421056,stream,220.3409576,-1.8404779999999998,0.18168
62954294,shell,214.3690338,-1.894952,0.12812
63095797,stream,215.4936523,-1.8259990000000001,0.27736
63173677,stream,216.1449432,-1.7378619999999998,0.10345
63188256,stream,214.46328739999998,-1.7470689999999998,0.05467
63188702,stream,216.29217999999997,-1.8037029999999998,0.054920000000000004
63376177,stream,217.5305481,-1.8384770000000001,0.05554
63376205,stream,217.56866459999998,-1.756989,0.05594
63376213,stream,217.57879640000002,-1.7876990000000001,0.056179999999999994
63376223,stream,217.60165409999996,-1.7669080000000001,0.05646
63530114,shell,218.6695557,-1.71118,0.28423000000000004
63646338,shell,181.68991090000003,-1.8549900000000001,0.16315
63704845,stream,180.0384521,-1.8051689999999998,0.16672
63772774,stream,178.3075409,-1.781122,0.13158
63780069,stream,178.29347230000005,-1.755609,0.22257
63815031,stream,177.47663880000005,-1.6435990000000005,0.08311
63815032,stream,177.47677,-1.639403,0.08294
63827217,stream,219.6999207,-1.810591,0.13388
63882215,stream,215.84631349999998,-1.723111,0.09208999999999999
64474270,shell,214.3178864,-1.589232,0.07721
64512275,shell,214.51843259999998,-1.549549,0.26691
64512826,stream,214.6324463,-1.6841810000000002,0.11999000000000001
64649128,stream,215.4253235,-1.6873490000000002,0.10142999999999999
64702860,stream,215.9758148,-1.605448,0.12767
64725091,stream,216.06867979999998,-1.627199,0.09277
64785584,shell,216.5201874,-1.538941,0.0548
64802000,stream,216.63217999999998,-1.690907,0.08242999999999999
64802605,stream,216.6356659,-1.58867,0.13942000000000002
64856814,stream,217.096283,-1.53664,0.0563
64917374,stream,217.6144714,-1.577402,0.07681
64971129,stream,217.85609440000002,-1.47254,0.09156
65019931,stream,218.1162415,-1.5521,0.05679
65177338,stream,218.8714142,-1.4857790000000002,0.1794
65215906,stream,180.8058929,-1.518609,0.08204
65261008,stream,219.22373959999996,-1.528356,0.12137
65297094,stream,178.8630676,-1.603049,0.15008
65308841,shell,178.4807739,-1.466661,0.07693
65358913,stream,219.64851380000002,-1.486542,0.13624
65364640,stream,177.3189545,-1.536409,0.08245
65451335,stream,220.06590269999998,-1.508748,0.1145
65734072,stream,214.71891780000004,-1.5196889999999998,0.1873
65734129,stream,214.6600037,-1.475702,0.10249000000000001
65734134,stream,214.65858459999998,-1.4991079999999999,0.05474
66261944,stream,216.56604,-1.3000120000000002,0.09979
66311863,shell,216.89883419999998,-1.372611,0.05541
66535653,stream,218.4831238,-1.32285,0.16899
66604789,shell,218.8196716,-1.387728,0.13092
66658971,shell,181.92532350000002,-1.3888209999999999,0.15567999999999999
66659007,stream,182.0047607,-1.298092,0.18073
66691941,stream,180.9373322,-1.380409,0.08229
66706443,stream,180.41230769999999,-1.291931,0.17890999999999999
66706939,stream,180.54373169999997,-1.385052,0.099
66734977,shell,179.7591858,-1.313052,0.08121
66759519,stream,178.90049,-1.4013790000000002,0.07606
66759555,stream,179.0449524,-1.2667979999999999,0.12716
66814891,stream,177.6383362,-1.354538,0.16025
66824617,stream,219.61500550000002,-1.2926520000000001,0.12269000000000001
66876235,shell,220.00425719999998,-1.301408,0.11525
66899235,stream,220.1219025,-1.325148,0.13764
66914642,stream,213.6785889,-1.310352,0.10352
66928690,shell,220.2304077,-1.410082,0.10675
67291907,stream,214.16636659999998,-1.262564,0.29973
67307240,stream,214.3160248,-1.28295,0.13774
67320934,stream,214.462204,-1.2502520000000001,0.12105
67475901,stream,216.3190613,-1.131261,0.08452
68550958,stream,213.03659059999998,-1.14478,0.1818
68608669,shell,213.80154419999997,-1.12855,0.07683999999999999
68642447,stream,217.9098816,-1.246792,0.1945
68833689,stream,215.9957886,-1.075112,0.17695999999999998
68857298,stream,216.28089900000003,-1.04698,0.10375999999999999
69175415,stream,218.40563959999997,-1.085811,0.0813
69270731,shell,219.24041749999998,-1.066781,0.07224
69294076,stream,219.243576,-1.058518,0.07213
69294116,stream,219.24907000000002,-1.066031,0.29363
69738885,stream,181.66722109999998,-1.123358,0.08237
69742719,stream,181.1889648,-1.074042,0.1776
69754833,stream,179.67073059999996,-1.06674,0.13116
69755845,stream,179.5415955,-1.076368,0.12120999999999996
69759014,stream,179.144104,-1.075364,0.08585
69768484,stream,178.15858459999995,-1.224292,0.28483
69770936,stream,177.6966553,-1.1036110000000001,0.16955
70147594,stream,332.92477,-1.050422,0.18272
70156507,stream,333.85739,-1.2589270000000001,0.263
70161480,shell,334.4140700000001,-1.1179999999999999,0.09833
70167117,stream,335.28603,-1.097379,0.09984
70168283,stream,335.48203,-1.05535,0.10725
70169061,stream,335.50456,-1.167889,0.10044
70520682,shell,218.01342769999997,-1.1676870000000001,0.054729999999999994
70892924,stream,214.19897459999999,-1.070569,0.12507000000000001
70912185,stream,218.83992,-1.027409,0.25716
72121009,stream,177.2065125,-0.9946209999999999,0.15914
72479400,stream,213.8195038,-0.99219,0.0808
72479482,shell,213.9203949,-0.8606719999999999,0.13856
72479483,stream,213.9186707,-0.8626389999999999,0.13932999999999998
72479774,shell,213.9442444,-0.991778,0.14923
72479933,shell,213.8397064,-1.002011,0.14889000000000002
74277699,stream,177.8348541,-0.974118,0.1062
74287148,stream,177.89011000000005,-1.016351,0.3443
74355953,stream,179.5549469,-1.046842,0.12092
74522792,stream,181.2010651,-0.9629120000000001,0.08234
74536792,stream,181.4705811,-0.91079,0.08362
74597002,stream,181.97929380000002,-1.00074,0.11167
74622502,stream,182.2537384,-1.00132,0.36075999999999997
74979360,stream,138.8115082,-0.849311,0.10307000000000001
75338336,stream,334.90006,-1.001235,0.05682
75344597,stream,334.1683,-0.965893,0.07681
75344598,stream,334.1681200000001,-0.9676299999999999,0.07733999999999999
75345536,stream,334.30593999999996,-0.976814,0.15103
75351283,stream,333.54458999999997,-0.935348,0.22189
75359475,stream,332.98732,-1.035758,0.09276000000000001
75994283,stream,214.99922180000004,-0.990452,0.08396
75998051,stream,215.8444519,-0.9319790000000001,0.054560000000000004
76007299,shell,216.2546082,-1.0360200000000002,0.17192000000000002
76036364,stream,217.5584259,-0.8428559999999999,0.10425
76054926,stream,219.76344300000002,-0.9840620000000001,0.14454
78258713,stream,213.22636409999998,-0.758288,0.11880999999999999
78305488,stream,213.81869509999999,-0.66128,0.13697
78316059,shell,213.8872528,-0.747728,0.12548
78512551,shell,215.94451899999999,-0.6641090000000001,0.05256
78538948,stream,216.1106567,-0.684689,0.17545
78539192,stream,216.22399900000002,-0.692959,0.13660999999999998
78564447,stream,216.427475,-0.7983979999999999,0.1038
78646223,stream,217.2937,-0.667326,0.21816
78871547,stream,218.0690918,-0.67143,0.22116
78871548,stream,218.0684662,-0.6723979999999999,0.21946
79004172,stream,218.94017030000003,-0.827217,0.21653000000000008
79004492,stream,218.812973,-0.730329,0.25509
79171668,stream,220.337677,-0.759549,0.07991000000000001
79179227,stream,220.51098629999998,-0.735808,0.10839000000000001
79530841,stream,180.1791382,-0.644829,0.37978
79548983,stream,178.1890564,-0.736408,0.11995
79904867,shell,333.29355,-0.64569,0.18212
79912616,shell,334.29501,-0.8357690000000001,0.10194
79916110,stream,334.64121,-0.6879970000000001,0.11413
79918229,stream,334.8819,-0.7009770000000001,0.09767
79922969,stream,335.39557,-0.813649,0.14781
80067647,stream,136.1618195,-0.663331,0.31374
80091760,stream,137.96356200000002,-0.755099,0.21188
80095905,shell,138.286972,-0.663141,0.16114
80098634,shell,138.4685364,-0.8423290000000001,0.29257
80116030,stream,139.96208190000002,-0.775899,0.21485
80805299,stream,177.1368103,-0.73585,0.15341
80808583,stream,215.03985600000001,-0.673488,0.10144
82226193,shell,214.11915589999998,-0.50516,0.12863
82226204,stream,214.1517944,-0.49999799999999994,0.18177000000000001
82226500,stream,214.00968930000002,-0.50184,0.18403
82229189,stream,214.7138824,-0.56194,0.13879
82229190,stream,214.714447,-0.564429,0.13796
84016621,shell,333.61984,-0.5790930000000001,0.09316
84023541,stream,334.1272600000001,-0.574393,0.11147
84283335,stream,177.57801819999997,-0.608689,0.13851
84336605,stream,178.4056396,-0.60091,0.12609
84423688,stream,179.68928530000005,-0.45436899999999997,0.09487999999999999
84459661,stream,179.85926819999997,-0.432088,0.08296
